අපි හැමදාම උදේ ව්‍යායාම කරන්නෙමු.,අපි හැමදාම උදේ ව්‍යායාම කරනවා.,උදේ ව්‍යායාම කරන්නෙමු අපි හැමදාම.
ඔබ මට උදව් කරන්නෙහි.,ඔයා මට උදව් කරන්න.,උදව් කරන්නෙහි ඔබ මට.
ඔවුහු පාසලට පයින් යති.,ඔවුන් පාසලට පයින් යනවා.,ඔවුහු පාසලට පයින් යති.
මම අලුත් අය හමුවෙමි.,මට අලුත් අය හමුවෙනවා.,අලුත් අය හමුවෙමි මම.
අපි අපේ දවස සැලසුම් කරන්නෙමු.,අපි අපේ දවස සැලසුම් කරනවා.,සැලසුම් කරන්නෙමු අපි අපේ දවස.
ඔබ චිත්‍රය අගය කරන්නෙහි.,ඔබ චිත්‍රය අගය කරනවා.,චිත්‍රය ඔබ අගය කරන්නෙහි.
ඔවුහු අලුත් දේවල් ගොඩනඟන්නෙමු.,ඔවුන් අලුත් දේවල් ගොඩනඟනවා.,ගොඩනඟන්නෙමු ඔවුහු අලුත් දේවල්.
මම පැලවලට වතුර දමමි.,මම පැලවලට වතුර දමන්නෙමු..,පැලවලට වතුර මම දමමි.
අපි සවස් වරුවේ විවේක ගන්නෙමු.,අපි සවස් වරුවේ විවේක ගන්නෙමි.,විවේක ගන්නෙමු අපි සවස් වරුවේ.
මම හිරු බැස යෑම භුක්ති විඳින්නෙමි.,මම හිරු බැස යෑම භුක්ති විඳින්නෙමි.,භුක්ති විඳින්නෙමි මම හිරු බැස යෑම.
අපි ජීවිතය ගැන කතා කරමු.,අපි ජීවිතය ගැන කතා කරනවා.,ජීවිතය ගැන කතා කරමු අපි.
ඔබ නව කුසලතා උගන්වන්නෙහි.,ඔබ නව කුසලතා උගන්වයි.,නව කුසලතා ඔබ උගන්වන්නෙහි.
ඔවුහු තමන්ගේ ජයග්‍රහණය සමරති.,ඔවුන් තමන්ගේ ජයග්‍රහණය සමරනවා.,ජයග්‍රහණය ඔවුහු තමන්ගේ සමරති.
මම මිතුරන් සමඟ සංචාරය කරමි.,මම මිතුරන් සමඟ සංචාරය කරමි.,සංචාරය කරමි මම මිතුරන් සමඟ.
අපි විහිළුවලට සිනාසෙමු.,අපි විහිළුවලට සිනාසෙමු.,සිනාසෙමු අපි විහිළුවලට.
ඔබ රසවත් කෑමක් සාදන්නෙහි.,ඔබ රසවත් කෑමක් සාදන්න.,රසවත් කෑමක් ඔබ සාදන්නෙහි.
ඔවුහු උයනේ සේවකයන්ට උදව් කරති.,ඔවුන් උයනේ උදව් කරයි.,කෑමක් ඔබ රසවත් සාදන්නෙහි.
මම ලිපියක් ලියමි.,මම ලිපියක් එවන්න.,සේවකයන්ට ඔවුහු උයනේ උදව් කරති.
අපි චිත්‍රපටියක් බලන්නෙමු.,අපි චිත්‍රපටියක් බලනවා.,චිත්‍රපටියක් අපි බලන්නෙමු.
ඔබ ඉතා දීප්තිමත් ලෙස සිනාසෙන්නෙහි.,ඔබ ඉතා දීප්තිමත් ලෙස සිනාසෙන්න.,ලෙස සිනාසෙන්නෙහි ඔබ ඉතා දීප්තිමත්.
ඔවුහු ඔවුන්ගේ රහස් බෙදා ගති.,ඔවුන් ඔවුන්ගේ රහස් බෙදා ගනී.,රහස් බෙදා ගති ඔවුහු ඔවුන්ගේ.
මම මගේ කාමරය පිරිසිදු කරමි.,මම මගේ කාමරය පිරිසිදු කරනවා.,කාමරය පිරිසිදු කරමි මම මගේ.
අපි කෑමක් උයන්නෙමු.,අපි කෑමක් උයනවා.,කෑමක් අපි උයන්නෙමු.
ඔබ උද්යානය හරහා ඇවිදින්නෙහි.,ඔබ උද්යානය හරහා ඇවිදින්න.,උද්යානය ඔබ හරහා ඇවිදින්නෙහි.
ඔවුහු පාර හරහා දුවති.,ඔවුන් පාර හරහා දුවනවා.,පාර හරහා ඔවුහු දුවති.
මම බල්ලෙක් එක්ක සෙල්ලම් කරමි.,මම බල්ලෙක් එක්ක සෙල්ලම් කරනවා.,බල්ලෙක් එක්ක මම සෙල්ලම් කරමි
අපි වැව අසල වාඩි වෙමු.,අපි වැව අසල වාඩි වෙනවා.,අසල වාඩි වෙමු අපි වැව.
ඔබ සංගීතයට සවන් දෙන්නෙහි.,ඔබ සංගීතයට සවන් දෙන්න.,සවන් දෙන්නෙහි ඔබ සංගීතයට.
ඔවුහු බයිසිකල් පදිති.,ඔවුන් බයිසිකල් පදිනවා.,බයිසිකල් ඔවුහු පදිති.
මම පින්තූරයක් අඳින්නෙමි.,මම පින්තූරයක් අඳිනවා.,පින්තූරයක් මම අඳින්නෙමි.
අපි නව ස්ථාන ගවේෂණය කරන්නෙමු.,අපි නව ස්ථාන ගවේෂණය කරන්නෙමු.,ස්ථාන ගවේෂණය අපි නව කරන්නෙමු.
ඔබ පොතේ ලියන්නෙහි.,ඔබ පොතේ ලියන්න.,ලියන්නෙහි ඔබ පොතේ.
ඔවුහු හොඳ ආහාර රසවිඳිති.,ඔවුන් හොඳ ආහාර රසවිඳිති.,රසවිඳිති ඔවුහු හොඳ ආහාර.
මම ව්‍යාපෘතියේ වැඩ කරන්නෙමි.,මම ව්‍යාපෘතියේ වැඩ කරනවා.,ව්‍යාපෘතියේ වැඩ මම කරන්නෙමි.
අපි ගබඩා කාමරය වෙත ඇවිදින්නෙමු.,අපි ගබඩා කිරීමට ඇවිදින්නෙමි,වෙත අපි ගබඩා කාමරය ඇවිදින්නෙමු.
ඔබ දේදුන්න දකින්නෙහි.,ඔබ දේදුන්න දකිනවා.,ඔබ දකින්නෙහි දේදුන්න.
ඔවුහු වෙරළ දිගේ ඇවිදිති.,ඔවුන් වෙරළ දිගේ ඇවිදිනවා.,දිගේ ඔවුහු වෙරළ ඇවිදිති.
මම  ඔබට  හිනා වෙන්නෙමි.,මට පේනවා ඔයා හිනා වෙනවා.,හිනා වෙන්නෙමි මම  ඔබට.
අපි එකට ගීත ගායනා කරති.,අපි එකට ගීත ගායනා කරනවා.,ගීත ගායනා අපි එකට කරති.
ඔබ ඔබේ මිතුරාට උදව් කරන්නෙහි.,ඔබ ඔබේ මිතුරාට උදව් කරන්න.,මිතුරාට උදව් ඔබ ඔබේ කරන්නෙහි.
ඔවුහු ජිම් යති.,ඔවුන් ජිම් යනවා.,ජිම් යති ඔවුහු.
මම බසය එනතුරු බලා සිටිමි.,මම බසය එනතුරු බලා සිටිනවා.,බසය එනතුරු මම බලා සිටිමි.
අපි මාර්ග නීති අනුගමනය කරමු.,අපි මාර්ගය අනුගමනය කරන්නෙහි.,මාර්ග නීති අනුගමනය කරමු අපි.
ඔබ ශබ්දයකට  ඇහුන්කන් දෙන්නෙහි.,ඔබ ශබ්දයකට  ඇහුන්කන් දෙන.,ඇහුන්කන් දෙන්නෙහි ඔබ ශබ්දයකට.
ඔවුහු කණ්ඩායමට ඔල්වරසන් දෙති.,ඔවුන් කණ්ඩායමට ඔල්වරසන් දෙනවා.,කණ්ඩායමට ඔවුහු ඔල්වරසන් දෙති.
මම පරක්කු වෙන්නෙමි.,මම පරක්කු වෙනවා.,පරක්කු මම වෙන්නෙමි.
අපි තරු ගණන් කරන්නෙමු.,අපි තරු ගණන් කරනවා.,තරු අපි ගණන් කරන්නෙමු.
ඔබ හොඳ උපදෙස් දෙන්නෙහි.,ඔබ හොඳ උපදෙස් දෙනවා.,හොඳ උපදෙස් දෙන්නෙහි ඔබ.
ඔවුහු පිටත පාපන්දු සෙල්ලම් කරති.,ඔවුන් පිටත පාපන්දු සෙල්ලම් කරති.,පාපන්දු සෙල්ලම් කරති ඔවුහු පිටත.
මම නිදාගන්නෙමි.,මම නිදාගන්නවා.,නිදාගන්නෙමි මම.
අපි කෞතුකාගාරය බලන්න යමු.,අපි කෞතුකාගාරය බලන්න ගියා.,බලන්න අපි කෞතුකාගාරය යමු.
අපි කෞතුකාගාරය බලන්න යන්නෙමු.,ඔබට තවත් විවේකයක් අවශ්යයි.,කෞතුකාගාරය අපි බලන්න යන්නෙමු.
ඔබ තවත් විවේකයක් අවශ්‍ය වන්නෙහි.,ඔවුන් තම දෙමාපියන්ට කතා කරනවා,අවශ්‍ය වන්නෙහි තවත් විවේකයක් ඔබ .
ඔවුන් තම දෙමාපියන්ට කතා කරයි.,ඔවුන් තම දෙමාපියන්ට කතා කරයි.,දෙමාපියන්ට ඔවුන් කතා කරයි තම.
මම සංගීතයට හොඳින් සවන් දෙමි.,මම සංගීතයට හොඳින් සවන් දෙමි.,හොඳින් සවන් දෙමි මම සංගීතයට.
අපි වැස්සේ ඇවිදින්නෙමු.,අපි වැස්සේ ඇවිදින්නෙමු.,වැස්සේ ඇවිදින්නෙමු අපි .
ඔබ පුටුව උඩින් පනින්නෙහි.,ඔබ පුටුව උඩින් පනින්න.,උඩින්  පුටුව පනින්නෙහි ඔබ.
ඔවුහු සෑම ගිම්හානයකම ගමන් කරති.,ඔවුන් සෑම ගිම්හානයකම ගමන් කරයි.,සෑම ගිම්හානයකම ඔවුහු ගමන් කරති.
මම අලුත් සපත්තු මිලදී ගන්නෙමි.,මම අලුත් සපත්තු මිලදී ගන්නවා.,අලුත් සපත්තු මිලදී ගන්නෙමි මම .
අපි කෑම රස විඳින්නෙමු.,අපි කෑම රස විඳින්නෙමු.,විඳින්නෙමු අපි කෑම රස .
අම්මා හැමදාම උදේ කෑම හදනවාය.,අම්මා හැමදාම උදේ කෑම හදනවා.,හැමදාම අම්මා හදනවාය උදේ කෑම .
මම හිරු එළියට කැමත්තෙමි,මම හිරු එළියට කැමතියි.,හිරු එළියට කැමත්තෙමි මම.
ඔවුහු ඔවුන්ගේ නව නිවසට කැමති වෙති.,ඔවුන් ඔවුන්ගේ නව නිවසට කැමතියි.,ඔවුන්ගේ නව නිවසට කැමති වෙති ඔවුහු .
අපි එළියේ සෙල්ලම් කරන්න කැමැත්තෙමු.,අපි කැමතියි එළියේ සෙල්ලම් කරන්න.,එළියේ සෙල්ලම් කරන්න අපි කැමැත්තෙමු.
ඔබ පොත් කියවීමට කැමත්තෙහි.,ඔබ පොත් කියවීමට කැමතියි.,පොත් කියවීමට ඔබ කැමත්තෙහි.
අම්මා ගොඩක් මහන්සි වුනාය.,අම්මා ගොඩක් මහන්සි වෙනවා.,ගොඩක් මහන්සි වුනාය අම්මා. 
ඔහු ක්‍රීඩා කිරීමට කැමතියි.,ඔහු ක්‍රීඩා කිරීමට කැමතියි.,කැමතියි ඔහු ක්‍රීඩා කිරීමට.
ඇය කඳුකරයේ ඇවිදීමට කැමතියි.,ඇය කඳුකරයේ ඇවිදීමට කැමතියි.,ඇවිදීමට කැමතියි ඇය කඳුකරයේ .
අම්මා නිතරම මට උදව් කරනවාය.,අම්මා නිතරම මට උදව් කරනවා.,නිතරම අම්මා කරනවාය මට උදව්.
මම චිත්‍ර අඳින්න කැමැත්තෙමි,මම චිත්‍ර අඳින්න කැමතියි.,චිත්‍ර අඳින්න මම කැමැත්තෙමි
ඔවුහු විදේශ සංචාර වලට කැමති වෙති,ඔවුන් විදේශ සංචාර වලට කැමතියි.,විදේශ සංචාර වලට ඔවුහු කැමති වෙති
අම්මා මට උපදෙස් දුන්නාය.,අම්මා මට උපදෙස් දුන්නා.,උපදෙස් දුන්නාය මට අම්මා .
ඔහු ඇඳුම් ඇඳීමට කැමතියි.,ඔහු ඇඳුම් ඇඳීමට කැමති වෙති,ඇඳුම් ඇඳීමට කැමතියි ඔහු .
මම සංගීතයට සවන් දීමට කැමත්තෙමි.,මම සංගීතයට සවන් දීමට කැමතියි.,සංගීතයට මම  කැමත්තෙමි සවන් දීමට.
ඇය නවකතා කියවීමට කැමතියි.,ඇය නවකතා කියවීමට කැමතියි.,නවකතා කියවීමට ඇය කැමතියි.
අපි සති අන්ත එකට ගත කරන්න කැමත්තෙමු.,අපි සති අන්ත එකට ගත කරන්න කැමතියි.,සති අන්ත එකට ගත කරන්න අපි කැමත්තෙමු.
අම්මා අපිව බලාගන්නවාය.,අම්මා අපිව බලාගන්නවා.,බලාගන්නවාය අපිව අම්මා.
මම ඔයාගේ අලුත් ඇඳුමට කැමැත්තෙමි.,මම ඔයාගේ අලුත් ඇඳුමට කැමතියි.,අලුත් ඇඳුමට කැමැත්තෙමි මම ඔයාගේ.
ඔවුහු සෙල්ලම් බඩු සමඟ සෙල්ලම් කිරීමට කැමති වෙති.,ඔවුන් සෙල්ලම් බඩු සමඟ සෙල්ලම් කිරීමට කැමතියි., සෙල්ලම් බඩු සමඟ සෙල්ලම් කිරීමට ඔවුහු කැමති වෙති.
සහෝදරිය වැවේ පිහිනනවාය,සහෝදරිය වැවේ පිහිනනවා,වැවේ පිහිනනවාය සහෝදරිය.
ඔහු අලුත් දේවල් ඉගෙනීමට කැමතියි.,ඔහු අලුත් දේවල් ඉගෙනීමට කැමති වෙති.,අලුත් දේවල් ඉගෙනීමට ඔහු කැමතියි.
ඇය කෞතුකාගාර නැරඹීමට ගියාය.,ඇය කෞතුකාගාර නැරඹීමට ගියෙමු., කෞතුකාගාර නැරඹීමට ගියාය ඇය.
අපි ඊයේ අපේ පාසල් චාරිකා ගියෙමු.,අපි ඊයේ අපේ පාසල් චාරිකා ගියේය්ය,පාසල් චාරිකා ඊයේ අපේ අපි ගියෙමු.
අපි අද අපේ පාසල් චාරිකා යමු.,අපි අද අපේ පාසල් චාරිකා යන්නෙහු.,පාසල් චාරිකා අපි යමු අද අපේ.
අපි අද අපේ පාසල් චාරිකා ගියෙමු,අපි අද අපේ පාසල් චාරිකා ගියාය.,පාසල් චාරිකා අපි අද අපේ ගියෙමු.
අම්මා ගෙවතු වගාවට කරනවාය.,අම්මා ගෙවතු වගාවට කරනවා.,ගෙවතු වගාවට අම්මා කරනවාය.
මම හිරු බැස යෑම නැරඹුවෙමි.,මම හිරු බැස යෑම නැරඹුවේය,මම හිරු බැස යෑම නැරඹුවෙමි.
ඔවුහු චෙස් සෙල්ලම් කිරීමට කරති.,ඔවුහු චෙස් සෙල්ලම් කිරීමට කරමි.,චෙස් සෙල්ලම් කිරීමට ඔවුහු කරති.
ඇය සීතල කාලගුණයට කැමතියි.,ඇය සීතල කාලගුණයට කැමති වන්නේය.,සීතල කාලගුණයට කැමතියි ඇය.
අම්මා දරුවන්ට ආදරේ කලාය.,අම්මා දරුවන්ට ආදරේ ක‌රති,ආදරේ කලාය අම්මා දරුවන්ට. 
ඔහු වීඩියෝ ක්‍රීඩා කිරීමට කැමතියි.,ඔහු වීඩියෝ ක්‍රීඩා කිරීමට කැමති වෙති,වීඩියෝ කැමතියි ක්‍රීඩා කිරීමට  ඔහු.
මම ඔබේ සිනහවට කැමතියි.,මම ඔබේ සිනහවට කැමති වෙති,ඔබේ සිනහවට මම කැමතියි.
ඇය කැෆේ නැරඹීමට කැමතියි.,ඇය කැෆේ නැරඹීමට කැමති වෙති,කැෆේ නැරඹීමට ඇය කැමතියි.
ඔවුහු වාහන නැවත්වති.,ඔවුහු වාහන නැවත් වන්නෙහි,වාහන නැවත්වති ඔවුහු.
අපි නටමු.,අපි නටන්නමි.,නටමු අපි
මගේ අම්මා හැමදාම උයනවාය.,මගේ අම්මා හැමදාම උයනවා.,හැමදාම උයනවාය මගේ අම්මා.
ඔහු චිත්‍රපටයක් බලයි.,ඔහු චිත්‍රපටයක් බලති.,චිත්‍රපටයක් බලයි ඔහු.
ඇය චිත්‍රපටයක් බලයි.,ඇය චිත්‍රපටයක් බලවති.,චිත්‍රපටයක් ඇය බලයි.
මම චිත්‍රපට‍යක් බලමි.,මම චිත්‍රපට‍යක් බලන්නේය.,චිත්‍රපට‍යක් මම බලමි.
අපි චිත්‍රපට  බලන්නෙමු.,අපි චිත්‍රපට  බලනවා.,බලන්නෙමු අපි චිත්‍රපට.
මම ජනේලයෙන් වාඩි වෙමි.,මම ජනේලයෙන් වාඩි වෙමි.,ජනේලයෙන් වාඩි මම වෙමි.
ඇය උදෑසන කෝපි පානය කලාය.,ඇය උදෑසන කෝපි පානය කරති,කෝපි පානය කලාය ඇය උදෑසන.
මිනිසා සෙමින් ගමන් කරයි.,මිනිසා සෙමින් ගමන් කරන්නේය.,සෙමින් ගමන් මිනිසා කරයි.
මිනිසා ගායනා කරයි.,මිනිසා ගායනා කරනවා.,ගායනා කරයි මිනිසා.
මිනිසා ඊයේ  කියෙව්වේය.,මිනිසා ඊයේ  කියොය.,ඊයේ මිනිසා කියෙව්වේය.
මම පොත් කියවමි,මම පොත් කියවු,පොත් මමකියවමි  .
අපි පොත් කියවමු.,අපි පොත් කියවි,කියවමු අපි පොත්.
ඔහු ඊයේ පොත කියෙව්වේය,ඔහු ඊයේ පොත කියෙව්වේය,ඊයේ කියෙව්වේය පොත ඔහු.
ඔහු පොත කියවයි.,ඔහු පොත කියවයි.,පොත කියවයි ඔහු.
ඇය ර්‍ඊයේ පොත කියෙව්වාය.,ඇය ර්‍ඊයේ පොත කියෙව්වාය.,කියෙව්වාය ඇය ර්‍ඊයේ පොත.
ඇය පොත් කියවයි,ඇය පොත් කියවති.,පොත් කියවයි ඇය. 
මිනිසා දරුවන්ට උපකාර කරයි.,මිනිසා දරුවන්ට උපකාර කරති.,උපකාර කරයි මිනිසා දරුවන්ට.
ඇය දරුවන්ට උපකාර කරයි.,ඇය දරුවන්ට උපකාර කරති.,දරුවන්ට උපකාර කරයි ඇය.
ඔහු දරුවන්ට උපකාර කරයි.,ඔහු දරුවන්ට උපකාර කරන්නහ.,උපකාර කරයි ඔහු දරුවන්ට.
මිනිහා පරිස්සමෙන්  රථය පදවයි.,මිනිහා පරිස්සමෙන්  රථය පදවති,පරිස්සමෙන් රථය මිනිහා පදවයි.
මිනිසා වෙහෙසට පත්ව සිටියි.,මිනිසා වෙහෙසට පත්ව සිටිමි,පත්ව සිටියි මිනිසා වෙහෙසට.
මිනිසා රාත්රී ආහාරය පිසිමින් සිටියි.,මිනිසා රාත්රී ආහාරය පිසිමින් සිටිති.,රාත්රී ආහාරය මිනිසා පිසිමින් සිටියි.
මිනිසා ගිටාරය වාදනය කරයි.,මිනිසා ගිටාරය වාදනය කරත්හුය.,ගිටාරය වාදනය මිනිසා කරයි.
මිනිසා මෘදු ලෙස කතා කරයි.,මිනිසා මෘදු ලෙස කතා කරති.,මෘදු ලෙස මිනිසා කතා කරයි.
මිනිසා පුවත්පත කියවයි.,මිනිසා පුවත්පත කියවමු,පුවත්පත මිනිසා කියවයි.
මිනිසා සංගීතයට සවන් දෙයි.,මිනිසා සංගීතයට සවන් දෙන්නීය,සංගීතයට මිනිසා සවන් දෙයි.
මිනිසෙක් පින්තාරු කරයි.,මිනිසෙක් පින්තාරු කරති.,පින්තාරු මිනිසෙක්  කරයි.
මිනිහා අකුරු ලියයි.,මිනිහා අකුරු ලියවමි.,අකුරු මිනිහා ලියයි.
මිනිසා ක්‍රීඩාව නරඹයි.,මිනිසා ක්‍රීඩාව නරඹනවා.,ලියයි මිනිහා අකුරු.
මිනිසා සිල්ලර බඩු මිලදී ගනියි.,මිනිසා සිල්ලර බඩු මිලදී ගන්නා,සිල්ලර බඩු මිනිසා මිලදී ගනියි.
මිනිසා උද්‍යානයේ දුවයි.,මිනිසා උද්‍යානයේ දුවපන්,උද්‍යානයේ මිනිසා දුවයි.
මිනිසා ඔහුගේ කථා බෙදා ගනියි.,මිනිසා ඔහුගේ කථා බෙදා ගනිති.,කථා බෙදා ගනියි මිනිසා ඔහුගේ.
මිනිසෙක් දිනපතා වෙහෙස මහන්සි වී වැඩ කරයි.,මිනිසෙක් දිනපතා වෙහෙස මහන්සි වී වැඩ කරහු.,දිනපතා වෙහෙස මහන්සි වී මිනිසෙක් වැඩ කරයි.
මිනිසා මෝටර් රථය සවි කරයි.,මිනිසා මෝටර් රථය සවි කරවාවි.,මෝටර් රථය  මිනිසා සවි කරයි.
මිනිසෙක් උපදෙස් වලට සවන් දෙයි.,මිනිසෙක් උපදෙස් වලට සවන් දෙමු,උපදෙස් වලට මිනිසෙක් සවන් දෙයි.
මිනිසා සෑම උදෑසනකම ව්‍යායාම කරයි.,මිනිසා සෑම උදෑසනකම ව්‍යායාම කරවති.,සෑම උදෑසනකම මිනිසා  ව්‍යායාම කරයි.
මිනිසා නිවසක් ගොඩනඟයි.,මිනිසා නිවසක් ගොඩනගන්නාහුය.,නිවසක්  මිනිසා ගොඩනඟයි.
මිනිසා කාලගුණය භුක්ති විඳියි.,මිනිසා කාලගුණය භුක්ති විඳිති,කාලගුණය මිනිසා භුක්ති විඳියි.
මිනිසෙක් නිතරම කෝපි බොයි.,මිනිසෙක් නිතරම කෝපි බොති.,නිතරම කෝපි මිනිසෙක් බොයි.
මිනිසා බෑගයක් රැගෙන යයි.,මිනිසා බෑගයක් ගත්තාය,බෑගයක් මිනිසා  රැගෙන යයි.
මිනිසා තම මිතුරන් හමුවෙයි.,මිනිසා තම මිතුරන් හමුවෙමි.,රැගෙන යයි බෑගයක් මිනිසා.
මිනිසා දීප්තිමත් ලෙස සිනාසෙයි.,මිනිසා දීප්තිමත් ලෙස සිනාසෙමු.,දීප්තිමත් ලෙස මිනිසා සිනාසෙයි.
